host_ts_ms,packet_number,time_offset_us,n_channels,ch0_type,ch0_status,ch0_value,ch1_type,ch1_status,ch1_value,ch2_type,ch2_status,ch2_value,ch3_type,ch3_status,ch3_value,ch4_type,ch4_status,ch4_value,ch5_type,ch5_status,ch5_value,ch6_type,ch6_status,ch6_value,ch7_type,ch7_status,ch7_value
1770054008364,1,500,5,0,0,4.83205,0,0,-0.000499964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008364,2,500,5,0,0,4.8944,0,0,-0.000485659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008365,3,500,5,0,0,4.85387,0,0,-0.000512123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008365,4,500,5,0,0,4.79776,0,0,-0.000509977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008366,5,500,5,0,0,4.74477,0,0,-0.000480652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008366,6,500,5,0,0,4.85075,0,0,-0.000506639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008367,7,500,5,0,0,4.80711,0,0,-0.000500679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008367,8,500,5,0,0,4.81958,0,0,-0.000485659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008368,9,501,5,0,0,4.87569,0,0,-0.000511885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008368,10,500,5,0,0,4.9131,0,0,-0.000503778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008369,11,501,5,0,0,4.80088,0,0,-0.000470638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008369,12,500,5,0,0,4.7323,0,0,-0.000509262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008370,13,500,5,0,0,4.81646,0,0,-0.000509262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008370,14,500,5,0,0,4.751,0,0,-0.00048852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008371,15,500,5,0,0,4.79464,0,0,-0.000513792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008371,16,500,5,0,0,4.80711,0,0,-0.000510693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008372,17,500,5,0,0,4.79776,0,0,-0.000472069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008372,18,500,5,0,0,4.87257,0,0,-0.000506401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008373,19,500,5,0,0,4.86322,0,0,-0.000497818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008373,20,500,5,0,0,4.86946,0,0,-0.000487804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
